gene,control,treated,log2(fold_change)
DDX11L1,0.0941968,0.0948823,0.0104622
OR4F5,0,0.00921666,1.79769e+308
"LOC100132062,LOC100133331",1.82889,2.73712,0.581691
OR4F3,0.049658,0.0497889,0.00379725
LOC643837,9.50516,8.6723,-0.132295
SAMD11,1.51739,2.26577,0.578414
KLHL17,3.07843,5.04932,0.713893
PLEKHN1,2.37519,2.68907,0.179063
ISG15,104.01,124.386,0.258102
AGRN,10.951,19.4063,0.825466
LOC254099,0.187432,0.151468,-0.307353
MIR200B,0,0,0
MIR200A,0,0,0
MIR429,0,0,0
TTLL10,0.00773741,0.0352193,2.18644
B3GALT6,7.99808,7.77857,-0.0401498
SCNN1D,0.0483709,0.222924,2.20434
PUSL1,26.2032,19.0173,-0.462427
GLTPD1,28.2004,29.5725,0.0685435
TAS1R3,0.125659,0.154545,0.298519
LOC148413,17.0598,20.279,0.24939
TMEM88B,0,0,0
VWA1,0.159979,0.681152,2.09009
ATAD3C,8.67086,9.99945,0.205674
ATAD3B,38.7741,29.4276,-0.397923
ATAD3A,79.0762,54.5377,-0.535991
MIB2,3.26348,3.79207,0.216576
"MMP23A,MMP23B",0.0207166,0.0187375,-0.144857
MMP23A,0.0207234,0.0187424,-0.144956
CALML6,0.260791,0.325047,0.317754
GABRD,0,0.335498,1.79769e+308
PRKCZ,5.00812,11.3513,1.18051
SKI,5.74872,7.97718,0.472639
RER1,35.0534,36.5126,0.0588413
PLCH2,0.141035,0.582006,2.04498
TNFRSF14,11.8601,9.59032,-0.30647
FAM213B,14.1944,21.5556,0.602741
ACTRT2,0,0.0328784,1.79769e+308
PRDM16,0.0352562,0.448422,3.66891
MIR4251,0,0,0
ARHGEF16,2.15572,3.90941,0.858777
TPRG1L,21.6159,34.9965,0.695117
TP73,0.076977,0.306374,1.9928
CCDC27,0,0.00682849,1.79769e+308
LOC388588,2.98473,8.38752,1.49065
DFFB,6.16922,7.58371,0.297816
LOC100133612,1.01316,0.59931,-0.757492
LOC728716,0.156265,0.175076,0.163989
LOC284661,0.126357,0.646994,2.35624
AJAP1,1.48158,3.72455,1.32992
MIR4417,0,0,0
KCNAB2,52.3957,57.9871,0.146284
RNF207,4.00182,2.86687,-0.481181
HES3,0,0.0262969,1.79769e+308
ESPN,1.76496,4.3405,1.29822
TAS1R1,0.0742886,0.0431236,-0.784663
ZBTB48,8.3486,9.67292,0.212417
PHF13,7.37723,9.74018,0.40087
THAP3,14.4534,13.7185,-0.0752854
CAMTA1,60.0358,72.1927,0.266031
VAMP3,32.6334,38.3336,0.232257
PER3,0.0470743,0.110812,1.2351
PARK7,455.498,391.801,-0.217323
SLC45A1,0.0134624,0.625352,5.53766
ENO1-AS1,3.61433,8.87067,1.29532
CA6,0,0.011774,1.79769e+308
H6PD,3.88836,5.55383,0.514322
SPSB1,6.00221,8.7543,0.544499
SLC25A33,29.391,21.5816,-0.445576
TMEM201,12.5964,9.16767,-0.458383
PIK3CD,0.533602,1.83053,1.77842
NMNAT1,2.19376,2.41296,0.137397
RBP7,0,0.314787,1.79769e+308
UBE4B,27.0688,26.1074,-0.0521715
KIF1B,5.89626,12.5312,1.08766
PGD,213.429,164.248,-0.377881
"APITD1,APITD1-CORT,CORT",21.2388,22.2396,0.0664267
PEX14,12.5282,12.1022,-0.0499099
TARDBP,84.4011,66.5261,-0.343342
ANGPTL7,0,0.00661624,1.79769e+308
UBIAD1,20.4627,18.7194,-0.128463
PTCHD2,1.77306,4.64834,1.39048
FBXO44,2.47339,7.05233,1.51161
FBXO6,0.382908,1.11368,1.54026
C1orf187,0.0845605,1.42723,4.07709
AGTRAP,37.5597,63.957,0
"CLCN6,NPPA-AS1",18.7058,22.3288,0.255419
PLOD1,46.8125,40.5297,-0.207915
MFN2,44.9404,36.4608,-0.301666
MIIP,19.6748,18.9811,-0.051783
TNFRSF8,10.0797,5.51644,-0.869642
"MIR4632,TNFRSF1B",21.4163,23.2323,0.117427
VPS13D,4.08382,6.26473,0.617333
SNORA59A,2.39484,1.90763,-0.328142
AADACL4,0,0,0
AADACL3,0.00408891,0,-1.79769e+308
C1orf158,0,0,0
PRAMEF12,0,0,0
PRAMEF1,0.00755319,0.0550139,2.86464
PRAMEF2,0,0.0465574,1.79769e+308
"PRAMEF7,PRAMEF8",0,0,0
PRAMEF22,0.00295872,0.0335996,3.5054
PRAMEF5,0.0064801,0.0737691,3.50893
PRAMEF9,0.0118585,0.0656353,2.46855
PRAMEF16,0,0,0
"PRAMEF20,PRAMEF21",0.00563968,0,-1.79769e+308
PRAMEF9,0.0118585,0.0656353,2.46855
PRAMEF17,0,0,0
"PRAMEF20,PRAMEF21",0.00563968,0,-1.79769e+308
PDPN,0.0274478,0.137286,2.32242
PRDM2,17.9709,21.3577,0.249091
KAZN,10.5489,13.0839,0.310698
TMEM51,3.50495,5.25349,0.583882
FHAD1,0.0182397,0.130377,2.83754
EFHD2,32.8305,35.8634,0.127477
CTRC,0.0418403,0.113518,1.43996
CELA2A,0,0,0
CELA2B,0,0,0
DNAJC16,5.78028,5.81395,0.00837925
"DDI2,RSC1A1",25.0223,20.1912,-0.309485
PLEKHM2,18.802,20.2531,0.107258
SLC25A34,0.0413562,0.0801072,0.95383
TMEM82,0,0,0
FBLIM1,0.199887,0.875853,2.1315
SPEN,25.7993,23.4153,-0.13988
C1orf64,0,0,0
CLCNKA,1.4224,2.44057,0.778889
CLCNKB,0.031371,0.18945,2.59431
C1orf144,66.5265,63.9483,-0.0570226
NECAP2,27.9657,48.6016,0.797343
MIR3675,0,0,0
MST1P2,0.21299,0.438018,1.0402
MIR3675,0,0,0
CROCC,3.50225,6.58964,0.911918
PADI1,0.0325778,0.0817083,1.32659
PADI3,0.0297978,0.153932,2.36901
PADI4,3.0336,8.29387,1.45102
PADI6,0.0206983,0.0816869,1.98059
ARHGEF10L,0.881636,1.7181,0.962558
ACTL8,17.7325,12.5132,-0.502947
IGSF21,3.62158,6.10517,0.75341
KLHDC7A,0.0642716,0.566929,3.14091
PAX7,0.0177866,0.223833,3.65356
MRTO4,79.7499,48.5192,-0.716928
PQLC2,3.54085,4.54188,0.359194
"C1orf151-NBL1,MINOS1,NBL1",50.1685,44.2836,-0.18001
HTR6,0,0.0452835,1.79769e+308
OTUD3,4.18158,4.92882,0.237195
PLA2G5,0,0.14298,1.79769e+308
PLA2G2F,0,0,0
UBXN10,0.0160542,0.321917,4.32567
VWA5B1,0,0.0475664,1.79769e+308
